text,answer,link
"Увидел рекламу потребительского кооператива, где предлагают высокие проценты за размещение денежных средств в кооперативе. А как понять, законно ли работает эта организация или под видом кооператива орудуют мошенники?
","Для этого следует проверить, внесены ли сведения об этом кооперативе в реестр. Реестр ведет Банк России, он опубликован на сайте и обновляется ежемесячно. По закону привлекать средства пайщиков и принимать новых членов имеют право только кредитные потребительские кооперативы (КПК), которые являются членами саморегулируемых организаций (СРО). Кооператив должен вступить в СРО в течение трех месяцев со дня создания, а если он прекращает свое членство в такой организации, то также в течение трех месяцев с этого момента должен вступить в другую СРО.В соответствии с базовым стандартом совершения КПК операций на финансовом рынке максимальный размер платы (процентов) по договору передачи личных сбережений не может превышать значение 2 (двух) ключевых ставок, установленное Банком России на дату заключения договора передачи личных сбережений.КПК не являются банками и на них не распространяется требование об обязательном участии в системе страхования вкладов. Риск потери денежных средств при размещении их в КПК оценивается инвестором самостоятельно.Граждане, вступая в члены КПК, получают права и обязанности в том числе по несению субсидиарной ответственности по обязательствам КПК. Членам КПК следует самостоятельно отслеживать финансовую устойчивость кооператива. Для этого члены КПК вправе знакомиться с протоколами общего собрания членов организации, годовой финансовой (бухгалтерской) отчетностью, со сметой доходов и расходов на содержание КПК и с отчетом о ее исполнении. Проявляйте осмотрительность и воздерживайтесь от вступления в КПК, финансовая устойчивость которого вызывает сомнение.О случаях, когда кооператив не входит в СРО, но привлекает средства пайщиков и принимает новых членов, а также привлекает средства по процентной ставке выше определенной базовым стандартом, рекомендуем информировать Банк России.",https://www.cbr.ru/faq/microfin/
"Как сохранить прожиточный минимум при взыскании по исполнительным документам?
","Для этого нужно подать заявление в подразделение службы судебных приставов, в котором ведется исполнительное производство, приложив документы о ежемесячном доходе и его источниках. С 1 июля 2022 года также можно обратиться с заявлением в банк, куда переданы исполнительные документы.Важно отметить, что сохранить прожиточный минимум можно только на одном из счетов должника и только в одном банке. Поэтому гражданин должен быть внимателен при оформлении заявления и указать в нем реквизиты только одного банковского счета.",https://www.cbr.ru/banking_sector/faq/
"Влияет ли отказ от страховки на повышение процентной ставки по кредиту?
","Индивидуальными условиями договора потребительского кредита (займа) может быть предусмотрено обязательное заключение заемщиком договора страхования (статья 7 Федерального закона от 21.12.2013 № 353-ФЗ «О потребительском кредите (займе)»). При этом банк вправе установить в договоре право на увеличение размера процентной ставки по выданному потребительскому кредиту (займу) в случае невыполнения заемщиком обязанности по страхованию свыше 30 календарных дней.Отказ от страховки может влиять на размер процентной ставки по договору потребительского кредита, если такие условия предусмотрены договором. Перед получением кредита важно изучить различные предложения, так как кредиторы могут предлагать кредитные продукты, по которым наличие или отсутствие страховки не влияет на размер процентной ставки.",https://www.cbr.ru/banking_sector/faq/
"Каковы условия государственной программы льготной ипотеки для семей с детьми? Где узнать условия программы и может ли наша семья рассчитывать на субсидию?
","«Семейная ипотека» утверждена постановлением Правительства Российской Федерации № 1711 от 30.12.2017. В рамках государственной программы льготной ипотеки для семей с детьми можно взять кредит на покупку недвижимости или оформить рефинансирование ранее оформленной ипотеки по льготной ставке.В программе могут участвовать семьи, в которых с 1 января 2018 года по 31 декабря 2022 года родился первый и (или) последующий ребенок. Заемщик и дети должны иметь гражданство Российской Федерации.Право на получение кредита возникает как у матери, так и у отца первого ребенка и (или) последующих детей, а также как у матери, так и у отца ребенка, которому установлена категория «ребенок-инвалид». Состав заемщиков (солидарных должников) по кредиту (займу) определяется кредитным договором или дополнительным соглашением о рефинансировании, в которые могут быть включены дополнительно третьи лица — граждане Российской Федерации. На них требование к наличию детей не распространяется.По программе можно приобрести у юридического лица на первичном рынке недвижимости готовую или строящуюся квартиру, готовый жилой дом / часть жилого дома с земельным участком, а также погасить ранее полученные кредиты (займы). Особые условия действуют при покупке жилья на территории Дальневосточного федерального округа.Получить консультацию по условиям и узнать перечень банков — участников программы можно в Центре информационной поддержки ипотечных заемщиков АО «ДОМ.РФ», которое является финансовым институтом развития в жилищной сфере.",https://www.cbr.ru/banking_sector/faq/
"Банк не исполняет исполнительный лист, который я туда направил. Как заставить банк перечислить мне средства согласно решению суда?
",Порядок и сроки исполнения банками и иными кредитными организациями требований исполнительных документов установлены Федеральным законом от 02.10.2007 № 229-ФЗ «Об исполнительном производстве» (далее — Закон № 229-ФЗ).Банк России не наделен полномочиями по контролю за соблюдением банками и иными кредитными организациями требований Закона № 229-ФЗ.Порядок привлечения к ответственности за неисполнение исполнительного документа предусмотрен Законом № 229-ФЗ и Кодексом Российской Федерации об административных правонарушениях.,https://www.cbr.ru/banking_sector/faq/
"Как узнать, зарегистрирована ли Банком России конкретная кредитная организация, и имеет ли она лицензию Банка России на осуществление банковских операций?
","На официальном сайте Банка России реализована функция поиска нужной кредитной организации: по наименованию, регистрационному номеру, виду лицензии, региону и так далее. Карточка кредитной организации содержит информацию о ее наименовании, регистрационном номере, дате регистрации Банком России, уставном капитале, виде банковской лицензии, местонахождении, телефонах, адресе веб-сайта, адресах филиалов и количестве внутренних структурных подразделений.",https://www.cbr.ru/banking_sector/faq/
"Я потеряла свой экземпляр договора с банком. Чем мне это грозит и что делать?
","Обратитесь в офис банка, в котором вы заключали договор. Копия договора может быть предоставлена бесплатно или за определенную плату. В любом случае утрата личного экземпляра договора не влечет никаких изменений в обязательствах между вами и банком.",https://www.cbr.ru/banking_sector/faq/
"Я открыл вклад в банке. Как убедиться в том, что банк внес меня в реестр вкладчиков?
","Для подтверждения учета обязательств банка перед вкладчиком можно обратиться непосредственно в кредитную организацию, с которой заключен договор банковского вклада (счета). Документами, подтверждающими обоснованность требований вкладчика к банку, являются:Такой документ должен отвечать требованиям соответствующего закона, банковским правилам и применяемым в банковской практике обычаям делового оборота. При наличии в договоре условия о том, что его подписанием стороны подтверждают факт внесения средств на счет банка, обоснованность требований вкладчика к банку может быть подтверждена представлением только договора банковского вклада (счета).",https://www.cbr.ru/banking_sector/faq/
"Где найти актуальные списки банков, участвующих в государственной программе страхования вкладов, а также банков, исключенных из этого списка?
","Актуальные перечни банков — участников системы страхования вкладов, а также банков, исключенных из системы страхования вкладов, размещены на официальном сайте государственной корпорации «Агентство по страхованию вкладов» в разделе «Банки», подразделы «Участники ССВ», «Исключенные из ССВ».Исчерпывающую информацию о системе страхования вкладов, возникновении страхового случая, сроках и месте выплат страхового возмещения, о банках-агентах для выплаты страхового возмещения вкладчикам и других возникающих проблемах можно получить по телефону горячей линии государственной корпорации «Агентство по страхованию вкладов»: 8 800 200-08-05 (звонок по Российской Федерации бесплатный), а также на ее сайте.",https://www.cbr.ru/banking_sector/faq/
"У меня был годовой вклад в крупном банке. Через год я сняла проценты и хотела переподписать новый договор, но операционист сказал, что он продлевается автоматически. Еще через год оказалось, что проценты по вкладу были снижены почти в два раза. Должен ли банк ставить клиента в известность о снижении ставки?
","Скорее всего, в вашем договоре с банком прописано условие: в случае если по истечении срока вклада вы не забрали деньги, банк без предварительного уведомления продлевает договор на такой же срок, но на тех условиях и под ту процентную ставку, которые действуют по данному виду вкладов на момент продления договора. Если в договоре банковского вклада не оговорены условия его продления, то договор продлевается на условиях вклада до востребования в этом банке. Банк, как правило, информирует о процентных ставках по вкладам на информационных стендах в помещениях, где обслуживаются клиенты, а также, например, на своем сайте в сети Интернет. Чтобы размер процентной ставки не стал для вас сюрпризом, лучше заранее (до окончания срока вклада) узнать у специалиста банка, на сайте или информационном стенде, какие условия предлагаются по новым вкладам.",https://www.cbr.ru/banking_sector/faq/
"Как рассчитать, какой налог возьмут с дохода по вкладу и как его уплатить?
","Граждане освобождены от уплаты подоходного налога с процентов по вкладам и счетам в российских банках, полученным (выплаченным) в 2021–2022 годах. Это касается процентного дохода на любую сумму.Освобождение доходов по вкладам от налога — временная антикризисная мера. По действующему законодательству вкладчику надо будет впервые заплатить налог только в 2024 году — с процентных доходов, полученных в 2023 году, если они превысят определенную сумму.Эта сумма зависит от максимального уровня ключевой ставки Банка России за год, когда был получен доход: 1 млн рублей умножают на максимальное значение ключевой ставки в этом году и получают сумму процентного дохода, которая налогом не облагается.Так, если максимальная ключевая ставка в 2023 году составит 10%, то налог придется заплатить с суммы процентного дохода, превышающей 100 тыс. руб. И если в 2023 году вкладчик в одном банке получит в виде процентов 100 тыс. рублей, а в другом — 200 тыс. рублей, ему будет начислен налог на сумму 26 тыс. рублей (13% от 200 тыс. рублей). Федеральная налоговая служба сама рассчитает сумму налога и пришлет вкладчику уведомление об уплате налога.Необходимо помнить, что ряд доходов физлиц, включая доходы по вкладам и счетам, превышающие 5 млн рублей в год, облагаются НДФЛ по повышенной ставке (15%, а не 13%).",https://www.cbr.ru/banking_sector/faq/
"Фирма предлагает внести вклад под высокие проценты, заключив договор займа. В чем риск?
","Привлекать денежные средства физических и юридических лиц во вклады вправе только банки на основе специальной банковской лицензии, которая выдается Банком России. Некоторые организации (не банки) привлекают денежные средства под проценты, при этом по ошибке — а иногда и умышленно — называют эти операции вкладами. Но не следует путать их с банковскими вкладами. Только банковские вклады застрахованы государством.Средства граждан при определенных условиях могут привлекать микрофинансовые организации, кредитные кооперативы. Это не банки, они действуют на основании законов «О микрофинансовой деятельности и микрофинансовых организациях», «О кредитной кооперации». Все иные случаи привлечения организациями средств населения, как правило, по своей юридической сути имеют статус обычного займа, то есть граждане дают им деньги в долг. К подобным предложениям нужно относиться осторожно, есть риск столкнуться с финансовой пирамидой. Внимательно изучите пределы ответственности организации по договору, проверьте ее учредительные документы, финансовое состояние, способность обеспечивать свои обязательства.",https://www.cbr.ru/banking_sector/faq/
"Можно ли открыть счет (оформить банковскую карту) по доверенности?
","Да. Банк может открывать счет и оформлять банковскую карту клиенту не только при его личном присутствии, но и при личном присутствии его представителя по доверенности. Таким представителем может быть любое лицо — например, родственник, сотрудник банка, в котором планируется открытие счета или выпуск карты.",https://www.cbr.ru/banking_sector/faq/
"Банк ввел комиссию по счету / поднял комиссию за переводы, вправе ли он так поступить?
","Согласно позиции Банка России, банки не вправе взимать комиссии, введенные или увеличенные в одностороннем порядке, без получения конкретного, информированного и сознательного согласия клиента на применение новых тарифов. Также они не должны включать в договоры счета и вклада положения, предусматривающие право на одностороннее увеличение или установление комиссий по операциям.Если с учетом этого клиент банка полагает, что его права нарушены, он может обратиться за их защитой в суд или к финансовому уполномоченному (уполномоченный вправе рассматривать имущественные требования потребителей к кредитным организациям).Банк России рекомендовал банкам доводить до потребителей информацию о планируемых изменениях в обслуживании заранее — например, не менее чем за 15 дней. У клиентов должно быть достаточно времени, чтобы решить, согласны они или нет обслуживаться на новых условиях.",https://www.cbr.ru/banking_sector/faq/
"Банки берут деньги за ведение счета. Но, по сути, никакой работы по его ведению не требуется. А еще и за выписки со счета платить приходится отдельно. Правомерно ли это?
","Открытие и ведение банковского счета является банковской услугой, за оказание которой банк может взимать комиссию. Президиум Высшего арбитражного суда РФ рассмотрел вопрос о правомерности получения банками комиссий за услуги по кредитному договору наряду с процентами за пользование кредитом. В его решении (см. информационное письмо Президиума Высшего арбитражного суда РФ от 13 сентября 2011 г. № 147) сказано, что банк имеет право на получение отдельного вознаграждения в том случае, если оно установлено за оказание клиенту самостоятельной услуги. То есть такой, которая создает для заемщика какое-либо дополнительное благо. Так, условие о взимании комиссии за стандартные действия, без совершения которых банк не смог бы заключить и исполнить договор (за рассмотрение заявки, за выдачу кредита, за ведение ссудного, а не банковского счета), признается судом незаконным. Только суд, в том числе и в остальных случаях, может оценить, правомерны ли комиссии. Что касается выписок со счета (справок о движении средств по счету), то их выдача — это, как правило, дополнительная услуга. Она предоставляется по запросу клиента и может быть платной (по условиям договора). Если же вы просто хотите узнать остаток средств на вашем счете, то обратитесь в офис банка или при наличии выпущенной банковской карты запросите баланс в банкомате этого банка — это бесплатно.",https://www.cbr.ru/banking_sector/faq/
